Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Журба,Сергій,Стефанович,Чоловіча,25-05-1949,Мікробіолог,село Нове Давидково,"набережна Лузанівська, буд. 865 кв. 343, Шепетівка, 13246",592 82 60,iustym18@example.com
Романчук,Василь,Романович,Чоловіча,01-09-1992,Гінеколог,місто Саки,"вулиця Виноградний тупик, буд. 3, Ірпінь, 96408",+380 33 880-16-09,antonlubenets@example.com
Мамчур,Алевтин,Михайлович,Чоловіча,07-08-2000,Дипломат,село Єнакієве,"проспект Чубаївська, буд. 7 кв. 17, Остер, 18116",+380 (47) 578-75-42,ilienkofedir@example.net
Батуринець,Богуслав,Амвросійович,Чоловіча,03-04-1974,Філолог,селище Конотоп,"набережна Іванова Ігоря, буд. 255, Вінниця, 52150",+380 76 562-45-20,pavlo31@example.com
Атрощенко,Валерій,Дмитрович,Чоловіча,13-12-1986,Кушнір,село Лутугине,"площа Агрономічна, буд. 73, Берестечко, 04585",017 892-78-39,kopytkospas@example.net
Карась,Іван,Єфремович,Чоловіча,05-12-1994,Кіноактор,селище Скалат,"вулиця Караїмська, буд. 34, Багачеве, 63659",078 623 77 53,mishchenkoiaroslav@example.net
Юхименко,Євген,Болеславович,Чоловіча,04-03-1979,Ювелір,селище Скадовськ,"набережна Географічний, буд. 95 кв. 3, Барвінкове, 38828",+380 68 101-86-07,zakharenkoanton@example.com
Василенко,Мирон,Геннадійович,Чоловіча,13-07-1979,Кінолог,місто Обухів,"парк Посівна, буд. 5 кв. 35, Носівка, 83484",851-23-08,ychernenko@example.com
Асаула,Богдан,Охрімович,Чоловіча,09-03-1944,Редактор,місто Харцизьк,"провулок Леонтовича, буд. 855 кв. 078, Тячів, 29579",+380 27 730-62-49,lriaboshapka@example.com
Гречаник,Юстим,Григорійович,Чоловіча,16-08-1984,Палеонтолог,село Городище,"шосе Ольги Благовидової, буд. 7 кв. 535, Ворожба, 01234",+380 09 357-37-33,kyrylo57@example.org
Юхименко,Альберт,Трохимович,Чоловіча,13-08-1985,Фермер,село Кадіївка,"провулок Балтиморська, буд. 2, Тернопіль, 92422",033-22-45,mykolaihunko@example.net
Дубас,Валентин,Ігорович,Чоловіча,19-04-1999,Кухар,село Миколаїв,"проспект Ігоря Іванова, буд. 35, Зеленодольськ, 62003",444 02 89,lukian07@example.net
Хомик,Тимофій,Прохорович,Чоловіча,25-02-1948,Музикознавець,селище Тростянець,"сквер Каркашадзе, буд. 26, Кривий Ріг, 23171",+380 90 049-98-47,nadiia02@example.org
Дейнека,Зорян,Зорянович,Чоловіча,16-04-1958,Клавішник,село Снігурівка,"вулиця Лузанівський 2-й, буд. 26, Бунге, 12395",554 16 83,alevtyn40@example.org
Сиротенко,Ростислав,Ярославович,Чоловіча,07-12-1960,Державний службовець,селище Мелітополь,"набережна Полтавська, буд. 72, Славута, 15581",013 644 23 05,liubovpryimak@example.com
Рубець,Мирослав,Дмитрович,Чоловіча,17-08-1961,Ботанік,місто Українськ,"узвіз Дністровська, буд. 668 кв. 35, Макіївка, 56317",+380 47 396 46 50,saliiklavdiia@example.org
Христенко,Ігнат,Устимович,Чоловіча,25-03-1962,Складальник,село Новий Буг,"сквер Учительський, буд. 8, Костопіль, 29665",+380 49 201 87 07,ptereshchuk@example.com
Тягнибок,Опанас,Азарович,Чоловіча,19-06-1955,Ювелір,місто Фастів,"площа Деревообробний 4-й, буд. 646 кв. 9, Болехів, 64716",+380 59 854-56-83,oshyian@example.net
Закусило,Спас,Леопольдович,Чоловіча,24-04-1950,Редактор,місто Болехів,"узвіз Чехівського, буд. 54 кв. 45, Гнівань, 32202",+380 23 815-76-47,les11@example.com
Хмара,Демʼян,Олесьович,Чоловіча,29-05-1954,Ріелтор,селище Карлівка,"парк Бітумна, буд. 05 кв. 31, Новий Калинів, 74441",000 965 65 77,udzyndra@example.com
Оніщук,Григорій,Данилович,Чоловіча,06-02-1980,Парфюмер,місто Багачеве,"парк Миколи Костомарова, буд. 6 кв. 61, Пологи, 46666",+380 18 173-76-91,avhustynnesterenko@example.org
Баранець,Гаврило,Прохорович,Чоловіча,23-12-1968,Мінералог,хутір Шумськ,"провулок Лугова, буд. 24 кв. 497, Бровари, 08981",706 66 16,adam57@example.com
Зубко,Віктор,Варфоломійович,Чоловіча,16-10-1959,Державний службовець,місто Харцизьк,"парк Бузковий, буд. 722, Жашків, 96947",055 970 62 88,vkabanenko@example.org
Оробець,Франц,Олександрович,Чоловіча,30-03-1999,Ріелтор,селище Часів Яр,"набережна Пiвденний, буд. 68 кв. 06, Зимогір'я, 14991",+380 (36) 755-09-70,edytatovstukha@example.net
Яремків,Кирило,Опанасович,Чоловіча,25-09-1965,Вчитель,селище Липовець,"проспект Лесі Українки, буд. 971, Мирноград, 59318",029 431 32 81,herman63@example.org
Іванченко,Степан,Семенович,Чоловіча,31-07-1983,Письменник,село Новий Розділ,"парк Колективний, буд. 930, Володимир-Волинський, 48193",+380 (78) 919-05-80,lzubko@example.com
Цимбалюк,Пармен,Гаврилович,Чоловіча,14-08-1986,Палеонтолог,селище Луганськ,"шосе Чайкова, буд. 634 кв. 83, Арциз, 59031",545-67-00,diemelianenko@example.org
Хорішко,Опанас,Семенович,Чоловіча,27-10-1948,Няня,хутір Решетилівка,"сквер Верф’яний, буд. 7, Нетішин, 86468",+380 34 438-00-72,panchukazar@example.net
Олійник,Демид,Миронович,Чоловіча,21-05-1975,Стиліст,село Бар,"сквер Пересипський 1-й, буд. 317, Южноукраїнськ, 77462",+380 68 678-35-09,kpoltavets@example.com
Атрощенко,Леопольд,Остапович,Чоловіча,23-01-1966,Лікар,місто Білицьке,"шосе Степана Олійника узвіз, буд. 728, Павлоград, 76256",+380 93 628-96-86,eibozhenkozlatoslava@example.com
Остапчук,Леонтій,Миронович,Чоловіча,12-05-1998,Ріелтор,хутір Мирноград,"парк 5-та Лінія Марії Демченко, буд. 51, Білгород-Дністровський, 49033",160-25-79,erika97@example.org
Годунок,Михайло,Демидович,Чоловіча,07-05-1956,Складальник,місто Конотоп,"узвіз Головна, буд. 37, Снігурівка, 52993",081 071-46-85,stepan59@example.net
Петренко,Максим,Теодорович,Чоловіча,14-05-1947,Локсмайстер,селище Канів,"шосе Галини Могильницької, буд. 452 кв. 922, Ізмаїл, 38877",537 55 94,perebyinisanastasiia@example.net
Джус,Євген,Валерійович,Чоловіча,04-11-1948,Електрик,селище Львів,"вулиця Фабрична, буд. 3 кв. 4, Макіївка, 52434",+380 (03) 525-01-93,lukian08@example.org
Токар,Лукʼян,Омелянович,Чоловіча,18-02-1981,Конструктор,хутір Хутір-Михайлівський,"сквер Олени Теліги, буд. 43 кв. 8, Нова Каховка, 22634",+380 99 886-36-91,odarka49@example.com
Бандура,Павло,Устимович,Чоловіча,03-03-1995,Геолог,хутір Корюківка,"площа Соляний 4-й, буд. 0, Рава-Руська, 08812",418 51 86,parmen08@example.net
Чуприна,Хома,Арсенович,Чоловіча,05-04-1942,Євнух,хутір Почаїв,"узвіз Абрикосовий, буд. 1 кв. 061, Сіверськодонецьк, 78981",774-22-85,dan98@example.com
Твердохліб,Остап,Орестович,Чоловіча,22-10-1967,Клоун,місто Бахчисарай,"парк Лузанівська, буд. 12, Тальне, 08985",+380 11 121-69-86,ysymonenko@example.org
Ковалюк,Макар,Гаврилович,Чоловіча,29-03-1966,Астрофізик,селище Корсунь-Шевченківський,"площа 11-та Лінія Марії Демченко, буд. 28 кв. 024, Гуляйполе, 31432",006 700-72-31,okhrimhrechko@example.com
